dataset,seed,policy,budget,accuracy,cross_entropy,context_first_rate,relevant_feature_rate,n_train,n_val,n_test,n_features,n_classes,noise_std
cube_nm_final,1,empty_mask,0,0.515,0.6929526062011718,0.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,1,full_features,12,0.9375,0.20879047393798827,1.0,0.4166666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,1,random,1,0.54965,0.680880485534668,0.07994999960064889,0.41600000000000004,6000,2000,2000,12,2,0.25
cube_nm_final,1,global_mi,1,0.5765,0.6781017150878906,0.0,0.504,6000,2000,2000,12,2,0.25
cube_nm_final,1,myopic_q,1,0.6045,0.66787451171875,0.0,0.496,6000,2000,2000,12,2,0.25
cube_nm_final,1,learned_briga,1,0.6045,0.66787451171875,0.0,0.496,6000,2000,2000,12,2,0.25
cube_nm_final,1,context_first,1,0.503,0.6942241973876954,1.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,1,regime_oracle,1,0.7175,0.5933954467773438,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,1,random,2,0.5885499999999999,0.6652321380615234,0.08030000030994415,0.41637499999999994,6000,2000,2000,12,2,0.25
cube_nm_final,1,global_mi,2,0.6075,0.6558344573974609,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,1,myopic_q,2,0.6195,0.641924331665039,0.0,0.28075,6000,2000,2000,12,2,0.25
cube_nm_final,1,learned_briga,2,0.7105,0.5692673797607422,1.0,0.49075,6000,2000,2000,12,2,0.25
cube_nm_final,1,context_first,2,0.7135,0.5575561065673829,1.0,0.49925,6000,2000,2000,12,2,0.25
cube_nm_final,1,regime_oracle,2,0.816,0.4997864990234375,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,1,random,3,0.61565,0.6504504043579102,0.08400000035762786,0.41608333333333336,6000,2000,2000,12,2,0.25
cube_nm_final,1,global_mi,3,0.6625,0.6188615417480469,0.0,0.5013333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,1,myopic_q,3,0.706,0.5520386810302734,0.0,0.4215,6000,2000,2000,12,2,0.25
cube_nm_final,1,learned_briga,3,0.7305,0.5259422225952148,0.0,0.4078333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,1,context_first,3,0.811,0.4038640899658203,1.0,0.6656666666666666,6000,2000,2000,12,2,0.25
cube_nm_final,1,regime_oracle,3,0.872,0.42633881378173827,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,1,random,5,0.6737,0.5963262191772462,0.08304999992251397,0.41545,6000,2000,2000,12,2,0.25
cube_nm_final,1,global_mi,5,0.703,0.581659683227539,0.0,0.6,6000,2000,2000,12,2,0.25
cube_nm_final,1,myopic_q,5,0.8345,0.3646504898071289,0.0,0.5263,6000,2000,2000,12,2,0.25
cube_nm_final,1,learned_briga,5,0.771,0.46081295013427737,0.0,0.3966,6000,2000,2000,12,2,0.25
cube_nm_final,1,context_first,5,0.9285,0.23021427154541016,1.0,0.7991,6000,2000,2000,12,2,0.25
cube_nm_final,1,regime_oracle,5,0.9055,0.36159715270996096,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,1,random,8,0.76815,0.4751100128173828,0.08585000038146973,0.41668125,6000,2000,2000,12,2,0.25
cube_nm_final,1,global_mi,8,0.721,0.5594045562744141,0.0,0.438,6000,2000,2000,12,2,0.25
cube_nm_final,1,myopic_q,8,0.894,0.2691974182128906,0.0,0.5134375,6000,2000,2000,12,2,0.25
cube_nm_final,1,learned_briga,8,0.895,0.27287854766845704,0.0,0.4739375,6000,2000,2000,12,2,0.25
cube_nm_final,1,context_first,8,0.9435,0.209669189453125,1.0,0.6248125,6000,2000,2000,12,2,0.25
cube_nm_final,1,regime_oracle,8,0.9435,0.2096104621887207,0.0,0.625,6000,2000,2000,12,2,0.25
cube_nm_final,3,empty_mask,0,0.512,0.6928595275878906,0.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,3,full_features,12,0.9365,0.21952058792114257,1.0,0.4166666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,3,random,1,0.5593,0.6773920623779297,0.08155000060796738,0.4205,6000,2000,2000,12,2,0.25
cube_nm_final,3,global_mi,1,0.6155,0.65797216796875,0.0,0.486,6000,2000,2000,12,2,0.25
cube_nm_final,3,myopic_q,1,0.5895,0.6669248504638672,0.0,0.514,6000,2000,2000,12,2,0.25
cube_nm_final,3,learned_briga,1,0.5895,0.6669248504638672,0.0,0.514,6000,2000,2000,12,2,0.25
cube_nm_final,3,context_first,1,0.5035,0.6954750061035156,1.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,3,regime_oracle,1,0.7235,0.5802433624267578,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,3,random,2,0.59045,0.6620431350708007,0.08339999839663506,0.4136,6000,2000,2000,12,2,0.25
cube_nm_final,3,global_mi,2,0.6495,0.6156746826171875,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,3,myopic_q,2,0.64,0.6261267852783203,0.0,0.48875,6000,2000,2000,12,2,0.25
cube_nm_final,3,learned_briga,2,0.7025,0.5680757446289062,1.0,0.4965,6000,2000,2000,12,2,0.25
cube_nm_final,3,context_first,2,0.7245,0.5471541290283203,1.0,0.499,6000,2000,2000,12,2,0.25
cube_nm_final,3,regime_oracle,2,0.8145,0.5050443572998047,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,3,random,3,0.62435,0.6401910430908204,0.08135000020265579,0.4176,6000,2000,2000,12,2,0.25
cube_nm_final,3,global_mi,3,0.6895,0.5761197662353515,0.0,0.5046666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,3,myopic_q,3,0.697,0.5785075225830079,0.0,0.42,6000,2000,2000,12,2,0.25
cube_nm_final,3,learned_briga,3,0.7525,0.5102558898925781,0.0,0.4568333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,3,context_first,3,0.8125,0.4074017181396484,1.0,0.6653333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,3,regime_oracle,3,0.8815,0.4388891372680664,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,3,random,5,0.6795,0.5914929779052734,0.08435000032186508,0.41814,6000,2000,2000,12,2,0.25
cube_nm_final,3,global_mi,5,0.701,0.564395034790039,0.0,0.5028,6000,2000,2000,12,2,0.25
cube_nm_final,3,myopic_q,5,0.803,0.42306291198730467,0.0,0.4444,6000,2000,2000,12,2,0.25
cube_nm_final,3,learned_briga,5,0.79,0.44026105499267576,0.0,0.4567,6000,2000,2000,12,2,0.25
cube_nm_final,3,context_first,5,0.917,0.24726741409301758,1.0,0.7988,6000,2000,2000,12,2,0.25
cube_nm_final,3,regime_oracle,5,0.88,0.38658163452148436,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,3,random,8,0.7654000000000001,0.47437199478149417,0.08495000004768372,0.41559375000000004,6000,2000,2000,12,2,0.25
cube_nm_final,3,global_mi,8,0.737,0.5187677459716797,0.0,0.5,6000,2000,2000,12,2,0.25
cube_nm_final,3,myopic_q,8,0.901,0.2700604820251465,0.0,0.5050625,6000,2000,2000,12,2,0.25
cube_nm_final,3,learned_briga,8,0.8805,0.3009457473754883,0.0,0.498125,6000,2000,2000,12,2,0.25
cube_nm_final,3,context_first,8,0.936,0.2286438980102539,1.0,0.62475,6000,2000,2000,12,2,0.25
cube_nm_final,3,regime_oracle,8,0.9365,0.2272091598510742,0.0,0.625,6000,2000,2000,12,2,0.25
cube_nm_final,5,empty_mask,0,0.495,0.6933963928222656,0.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,5,full_features,12,0.937,0.21506863403320312,1.0,0.4166666666666667,6000,2000,2000,12,2,0.25
cube_nm_final,5,random,1,0.55195,0.6840131622314455,0.08360000029206276,0.4159,6000,2000,2000,12,2,0.25
cube_nm_final,5,global_mi,1,0.6195,0.655166763305664,0.0,0.507,6000,2000,2000,12,2,0.25
cube_nm_final,5,myopic_q,1,0.6195,0.655166763305664,0.0,0.507,6000,2000,2000,12,2,0.25
cube_nm_final,5,learned_briga,1,0.6195,0.655166763305664,0.0,0.507,6000,2000,2000,12,2,0.25
cube_nm_final,5,context_first,1,0.4905,0.7100834503173828,1.0,0.0,6000,2000,2000,12,2,0.25
cube_nm_final,5,regime_oracle,1,0.734,0.568806884765625,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,5,random,2,0.5939500000000001,0.6690049713134765,0.08210000097751617,0.41295000000000004,6000,2000,2000,12,2,0.25
cube_nm_final,5,global_mi,2,0.6455,0.6369832458496094,0.0,0.7535,6000,2000,2000,12,2,0.25
cube_nm_final,5,myopic_q,2,0.655,0.63065625,0.0,0.506,6000,2000,2000,12,2,0.25
cube_nm_final,5,learned_briga,2,0.643,0.5962195434570312,1.0,0.36,6000,2000,2000,12,2,0.25
cube_nm_final,5,context_first,2,0.7305,0.5314811935424805,1.0,0.499,6000,2000,2000,12,2,0.25
cube_nm_final,5,regime_oracle,2,0.827,0.48300341033935545,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,5,random,3,0.618,0.6513660888671875,0.0828000009059906,0.41756666666666664,6000,2000,2000,12,2,0.25
cube_nm_final,5,global_mi,3,0.636,0.6468311157226563,0.0,0.5023333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,5,myopic_q,3,0.6725,0.5973467407226563,0.0,0.5083333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,5,learned_briga,3,0.7375,0.5257749481201172,1.0,0.36466666666666664,6000,2000,2000,12,2,0.25
cube_nm_final,5,context_first,3,0.82,0.38726541137695314,1.0,0.6653333333333333,6000,2000,2000,12,2,0.25
cube_nm_final,5,regime_oracle,3,0.8865,0.4227947845458984,0.0,1.0,6000,2000,2000,12,2,0.25
cube_nm_final,5,random,5,0.66605,0.6094024703979491,0.08210000023245811,0.41441999999999996,6000,2000,2000,12,2,0.25
cube_nm_final,5,global_mi,5,0.688,0.5972452545166016,0.0,0.5014,6000,2000,2000,12,2,0.25
cube_nm_final,5,myopic_q,5,0.7765,0.46209464263916017,0.0,0.5026,6000,2000,2000,12,2,0.25
cube_nm_final,5,learned_briga,5,0.8305,0.3752674407958984,1.0,0.4715,6000,2000,2000,12,2,0.25
cube_nm_final,5,context_first,5,0.924,0.23378555297851564,1.0,0.7988,6000,2000,2000,12,2,0.25
cube_nm_final,5,regime_oracle,5,0.912,0.3672078247070312,0.0,1.0,6000,2000,2000,12,2,0.25
