dataset,policy,budget,accuracy_mean,accuracy_se,cross_entropy_mean,cross_entropy_se,context_first_rate_mean,context_first_rate_se,relevant_feature_rate_mean,relevant_feature_rate_se,n_seeds
cube_nm_final,empty_mask,0,0.5064,0.0034619358746227577,0.6930886199951172,9.161834507139319e-05,0.0,0.0,0.0,0.0,5
cube_nm_final,context_first,1,0.4989,0.003159905061864985,0.6991250061035157,0.0029181965110275723,1.0,0.0,0.0,0.0,5
cube_nm_final,global_mi,1,0.6051,0.007826876771739806,0.6624051361083985,0.004429824116059684,0.0,0.0,0.4993,0.003700000000000001,5
cube_nm_final,learned_briga,1,0.6081000000000001,0.005230678732248813,0.6608739379882812,0.0028122879332927162,0.0,0.0,0.5045,0.0029580398915498123,5
cube_nm_final,myopic_q,1,0.6081000000000001,0.005230678732248813,0.6608739379882812,0.0028122879332927162,0.0,0.0,0.5045,0.0029580398915498123,5
cube_nm_final,random,1,0.5532600000000001,0.002512737550959115,0.6811283627319336,0.001105087493611242,0.0814800001680851,0.0005974111794848603,0.418,0.001010940156488005,5
cube_nm_final,regime_oracle,1,0.7235,0.0028504385627478378,0.5815525634765625,0.003930237170457514,0.0,0.0,1.0,0.0,5
cube_nm_final,context_first,2,0.7271,0.004035467754796209,0.544238949584961,0.004742945504555593,1.0,0.0,0.499,0.0002850438562747896,5
cube_nm_final,global_mi,2,0.6402,0.008254695633395565,0.631793765258789,0.006897759340706599,0.0,0.0,0.5507,0.05069999999999999,5
cube_nm_final,learned_briga,2,0.6895,0.017566302969037058,0.5775964782714843,0.013899723851718053,0.8,0.19999999999999998,0.46814999999999996,0.027081312745138482,5
cube_nm_final,myopic_q,2,0.6411,0.005967411499134272,0.6306216613769531,0.004257147944362754,0.0,0.0,0.48855000000000004,0.06879414037547095,5
cube_nm_final,random,2,0.5910299999999999,0.0008718658153638349,0.6652969851684569,0.0011388854800757561,0.08319999992847442,0.0009528901951280002,0.41508,0.001117961314178615,5
cube_nm_final,regime_oracle,2,0.8158999999999998,0.003682390527904377,0.4960522842407227,0.0036499685392150185,0.0,0.0,1.0,0.0,5
cube_nm_final,context_first,3,0.8150999999999999,0.00163859696081738,0.39714349365234375,0.003909202896383869,1.0,0.0,0.6653333333333333,0.00038005847503303825,5
cube_nm_final,global_mi,3,0.6563,0.009317456734538668,0.6175524169921875,0.011637032087616517,0.0,0.0,0.46853333333333336,0.03380608097829607,5
cube_nm_final,learned_briga,3,0.7314,0.008541662601625042,0.5279606857299805,0.011135297633500579,0.4,0.24494897427831783,0.4245333333333333,0.030435560342029745,5
cube_nm_final,myopic_q,3,0.6875,0.006657702306351638,0.5833360473632813,0.009414296474684516,0.0,0.0,0.49289999999999995,0.04008111913496317,5
cube_nm_final,random,3,0.61959,0.0014454584047975789,0.6471469107055665,0.002013012030686028,0.0831800001859665,0.0006100409727622221,0.4168,0.0003385836512427677,5
cube_nm_final,regime_oracle,3,0.874,0.0053781967238099365,0.43459594879150387,0.0041929306318241695,0.0,0.0,1.0,0.0,5
cube_nm_final,context_first,5,0.9186,0.003732961290986024,0.24062147521972657,0.003963707359241351,1.0,0.0,0.7988,0.00034205262752974266,5
cube_nm_final,global_mi,5,0.6908,0.005183145762951292,0.58412177734375,0.005590694951485202,0.0,0.0,0.48084,0.037532833626040006,5
cube_nm_final,learned_briga,5,0.7999,0.010304610618553228,0.4217920455932617,0.01554181866379944,0.4,0.24494897427831783,0.45354,0.014603513275920965,5
cube_nm_final,myopic_q,5,0.7814,0.017782294565100422,0.4506648712158203,0.028228831055208136,0.0,0.0,0.49516,0.015061427555182146,5
cube_nm_final,random,5,0.67326,0.002315350945321239,0.5977123748779297,0.003048979905261908,0.0834399999678135,0.0004448033284178275,0.4168299999999999,0.0008264078896041641,5
cube_nm_final,regime_oracle,5,0.898,0.00542448154204621,0.36971798706054687,0.005527114111918241,0.0,0.0,1.0,0.0,5
cube_nm_final,context_first,8,0.9383000000000001,0.004665297418171751,0.2188985557556152,0.004367252930290901,1.0,0.0,0.62475,7.12609640686907e-05,5
cube_nm_final,global_mi,8,0.7313,0.0045044422518220805,0.5293235748291016,0.008163055064162886,0.0,0.0,0.48783750000000003,0.02343932992856237,5
cube_nm_final,learned_briga,8,0.8882999999999999,0.005122499389946288,0.28222932586669924,0.008093147508444814,0.0,0.0,0.48882499999999995,0.008222382752280502,5
cube_nm_final,myopic_q,8,0.8808,0.009434776096972302,0.2940819404602051,0.013955840345200886,0.0,0.0,0.49605,0.009718285760616424,5
cube_nm_final,random,8,0.76392,0.0014497930886854047,0.480147474822998,0.002979683097642153,0.0835300001502037,0.0010436235042430653,0.41641500000000004,0.000498213997695779,5
cube_nm_final,regime_oracle,8,0.9385,0.004579847159021788,0.21870475311279297,0.004357105995080648,0.0,0.0,0.625,0.0,5
cube_nm_final,full_features,12,0.9342,0.0021365860619221443,0.21724375457763673,0.002428000547784553,1.0,0.0,0.4166666666666667,0.0,5
