policy,seed,mean_accuracy_k2_16,mean_cross_entropy_k2_16
global_mi,1,0.50718,1.2551477685546875
global_mi,3,0.48906,1.2845971728515626
global_mi,5,0.52046,1.2366922778320313
global_mi,7,0.51178,1.2453402319335938
global_mi,9,0.51156,1.2627013110351561
learned_briga,1,0.5678799999999999,1.1727647607421876
learned_briga,3,0.56204,1.1762398388671875
learned_briga,5,0.56044,1.184058271484375
learned_briga,7,0.55664,1.177300888671875
learned_briga,9,0.5567,1.1824299389648438
myopic_q,1,0.5287599999999999,1.2207187817382814
myopic_q,3,0.52614,1.2399968017578125
myopic_q,5,0.53036,1.2195964379882813
myopic_q,7,0.51088,1.2708328173828125
myopic_q,9,0.53254,1.2138030224609375
random,1,0.525396,1.2960583312988283
random,3,0.522486,1.3055725634765625
random,5,0.5251539999999999,1.297486734863281
random,7,0.525068,1.2998284509277345
random,9,0.5219,1.3040414921874999
