dataset,seed,policy,budget,accuracy,cross_entropy,predictor_val_acc_random_masks,predictor_val_loss_random_masks,n_train,n_val,n_test,n_features,n_classes
fashion_mnist_selected,1,empty_mask,0,0.1,2.313228076171875,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,full_features,20,0.7188,0.8262907836914063,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,1,0.18508,2.089372551269532,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,1,0.1841,1.9536124267578123,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,1,0.1841,1.9536124267578123,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,1,0.1841,1.9536124267578123,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,2,0.27685,1.888511970214844,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,2,0.2355,1.8158768798828124,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,2,0.2663,1.7450771484375,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,2,0.3151,1.685923046875,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,4,0.42222,1.570146496582031,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,4,0.4033,1.4710633544921874,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,4,0.4184,1.4939750244140626,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,4,0.5265,1.3790677734375,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,8,0.5808899999999999,1.171894697265625,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,8,0.5635,1.150422509765625,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,8,0.6059,1.09071484375,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,8,0.6201,1.049332421875,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,12,0.6533100000000001,0.977021424560547,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,12,0.6459,0.9600266845703124,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,12,0.6584,0.9224557495117188,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,12,0.6753,0.91709931640625,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,16,0.69371,0.8727170678710937,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,16,0.6877,0.8783494140625,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,16,0.6948,0.851371142578125,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,16,0.7024,0.8324012451171875,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,random,20,0.7188,0.8262907836914064,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,global_mi,20,0.7188,0.8262907836914063,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,myopic_q,20,0.7188,0.8262907836914063,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,1,learned_briga,20,0.7188,0.8262907836914063,0.578,1.176656689453125,50000,10000,10000,20,10
fashion_mnist_selected,3,empty_mask,0,0.1,2.32059267578125,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,full_features,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,1,0.18239,2.08957201171875,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,1,0.1838,1.945668212890625,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,1,0.1838,1.945668212890625,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,1,0.1838,1.945668212890625,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,2,0.27273,1.8931174462890623,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,2,0.2458,1.8124779541015623,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,2,0.2632,1.812753125,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,2,0.3177,1.67509775390625,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,4,0.42015,1.5788734399414062,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,4,0.3359,1.5761894287109377,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,4,0.4059,1.46591787109375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,4,0.4931,1.3866377197265625,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,8,0.57698,1.1871861279296874,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,8,0.5566,1.16365107421875,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,8,0.6019,1.12972158203125,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,8,0.6268,1.063882568359375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,12,0.65012,0.9852589709472656,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,12,0.6363,0.9676494995117187,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,12,0.6561,0.9372572387695312,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,12,0.666,0.9221091430664062,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,16,0.69245,0.8834268322753906,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,16,0.6707,0.9030179077148438,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,16,0.7036,0.8543341918945313,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,16,0.7066,0.8334720092773438,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,random,20,0.7164,0.8335452148437501,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,global_mi,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,myopic_q,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,3,learned_briga,20,0.7164,0.83354521484375,0.5696,1.18767529296875,50000,10000,10000,20,10
fashion_mnist_selected,5,empty_mask,0,0.1,2.3156796875,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,full_features,20,0.7258,0.82096650390625,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,1,0.18464,2.0862962207031246,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,global_mi,1,0.1822,1.94369755859375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,myopic_q,1,0.1822,1.94369755859375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,learned_briga,1,0.1822,1.94369755859375,0.5703,1.1751244140625,50000,10000,10000,20,10
fashion_mnist_selected,5,random,2,0.27203,1.8906838427734372,0.5703,1.1751244140625,50000,10000,10000,20,10
