policy,budget,dataset,accuracy_mean,accuracy_se,cross_entropy_mean,cross_entropy_se,n_seeds,n_features,n_classes
empty_mask,0,fashion_mnist_selected,0.1,0.0,2.319652744140625,0.0024327029452294413,5,20,10
random,1,fashion_mnist_selected,0.184012,0.0004816160296335672,2.0907502739257815,0.001545773645104033,5,20,10
global_mi,1,fashion_mnist_selected,0.1827,0.0008438009243891577,1.9531495019531249,0.0038175815137564888,5,20,10
myopic_q,1,fashion_mnist_selected,0.1827,0.0008438009243891577,1.9531495019531249,0.0038175815137564888,5,20,10
learned_briga,1,fashion_mnist_selected,0.1827,0.0008438009243891577,1.9531495019531249,0.0038175815137564888,5,20,10
random,2,fashion_mnist_selected,0.27366799999999997,0.0008426054830108811,1.8931934223632811,0.001660224338228901,5,20,10
global_mi,2,fashion_mnist_selected,0.26336,0.009576930614763793,1.7786564599609374,0.014655264853666741,5,20,10
myopic_q,2,fashion_mnist_selected,0.27758,0.011904679752097498,1.7761823876953122,0.018343793886397973,5,20,10
learned_briga,2,fashion_mnist_selected,0.31896,0.007176043478129152,1.687900361328125,0.0049389156498412775,5,20,10
random,4,fashion_mnist_selected,0.42104400000000003,0.0007485626226308732,1.5750670185546876,0.0016237021197641806,5,20,10
global_mi,4,fashion_mnist_selected,0.38924,0.01405850632179678,1.501222353515625,0.01918789003197206,5,20,10
myopic_q,4,fashion_mnist_selected,0.39581999999999995,0.007997712172865434,1.494161728515625,0.014597757303397177,5,20,10
learned_briga,4,fashion_mnist_selected,0.49783999999999995,0.008054166623555781,1.3800408642578126,0.0027055629814099957,5,20,10
random,8,fashion_mnist_selected,0.57931,0.0008732754433739608,1.1775965034179685,0.002983297416834234,5,20,10
global_mi,8,fashion_mnist_selected,0.55428,0.00557533855474265,1.1644680566406251,0.0139634606558668,5,20,10
myopic_q,8,fashion_mnist_selected,0.59516,0.007376489680057851,1.11136154296875,0.016939107874606254,5,20,10
learned_briga,8,fashion_mnist_selected,0.6159,0.004719851692585264,1.0642583471679687,0.00879754423021076,5,20,10
random,12,fashion_mnist_selected,0.6524340000000001,0.0009766811147963953,0.9790816445312501,0.0018922770443326725,5,20,10
global_mi,12,fashion_mnist_selected,0.64754,0.0040231331074176545,0.9600769140625,0.0028059033677095115,5,20,10
myopic_q,12,fashion_mnist_selected,0.6592399999999999,0.00390865705837696,0.9299263623046876,0.009005096659426826,5,20,10
learned_briga,12,fashion_mnist_selected,0.66852,0.0023122283624244424,0.9225906591796875,0.0035014095126549797,5,20,10
random,16,fashion_mnist_selected,0.693548,0.0014261430503283894,0.8780489838867188,0.002570678067266277,5,20,10
global_mi,16,fashion_mnist_selected,0.6856199999999999,0.004235728980942952,0.8800549780273437,0.006043312373354758,5,20,10
myopic_q,16,fashion_mnist_selected,0.70088,0.002765031645388532,0.85331583984375,0.005119733122978478,5,20,10
learned_briga,16,fashion_mnist_selected,0.70248,0.0026749579435946225,0.8380034667968751,0.002507426516663346,5,20,10
full_features,20,fashion_mnist_selected,0.7197600000000001,0.0016627086335254226,0.8282626391601562,0.002186796662654041,5,20,10
random,20,fashion_mnist_selected,0.71976,0.0016627086335254133,0.8282626391601564,0.0021867966626540353,5,20,10
global_mi,20,fashion_mnist_selected,0.7197600000000001,0.0016627086335254226,0.8282626391601562,0.002186796662654041,5,20,10
myopic_q,20,fashion_mnist_selected,0.7197600000000001,0.0016627086335254226,0.8282626391601562,0.002186796662654041,5,20,10
learned_briga,20,fashion_mnist_selected,0.7197600000000001,0.0016627086335254226,0.8282626391601562,0.002186796662654041,5,20,10
