policy,budget,feature_index,pixel_index,pixel_row,pixel_col,selected_count,selection_frequency,mean_acquisition_rank_if_selected,frequency_rank
global_mi,2,0,10,0,10,0,0.0,,3
global_mi,2,1,38,1,10,0,0.0,,4
global_mi,2,2,121,4,9,10000,1.0,1.0,1
global_mi,2,3,146,5,6,0,0.0,,5
global_mi,2,4,202,7,6,10000,1.0,2.0,2
global_mi,2,5,246,8,22,0,0.0,,6
global_mi,2,6,248,8,24,0,0.0,,7
global_mi,2,7,341,12,5,0,0.0,,8
global_mi,2,8,343,12,7,0,0.0,,9
global_mi,2,9,362,12,26,0,0.0,,10
global_mi,2,10,406,14,14,0,0.0,,11
global_mi,2,11,434,15,14,0,0.0,,12
global_mi,2,12,454,16,6,0,0.0,,13
global_mi,2,13,490,17,14,0,0.0,,14
global_mi,2,14,546,19,14,0,0.0,,15
global_mi,2,15,574,20,14,0,0.0,,16
global_mi,2,16,580,20,20,0,0.0,,17
global_mi,2,17,602,21,14,0,0.0,,18
global_mi,2,18,742,26,14,0,0.0,,19
global_mi,2,19,770,27,14,0,0.0,,20
myopic_q,2,0,10,0,10,0,0.0,,4
myopic_q,2,1,38,1,10,2305,0.2305,2.0,3
myopic_q,2,2,121,4,9,10000,1.0,1.0,1
myopic_q,2,3,146,5,6,0,0.0,,5
myopic_q,2,4,202,7,6,7695,0.7695,2.0,2
myopic_q,2,5,246,8,22,0,0.0,,6
myopic_q,2,6,248,8,24,0,0.0,,7
myopic_q,2,7,341,12,5,0,0.0,,8
myopic_q,2,8,343,12,7,0,0.0,,9
myopic_q,2,9,362,12,26,0,0.0,,10
myopic_q,2,10,406,14,14,0,0.0,,11
myopic_q,2,11,434,15,14,0,0.0,,12
myopic_q,2,12,454,16,6,0,0.0,,13
myopic_q,2,13,490,17,14,0,0.0,,14
myopic_q,2,14,546,19,14,0,0.0,,15
myopic_q,2,15,574,20,14,0,0.0,,16
myopic_q,2,16,580,20,20,0,0.0,,17
myopic_q,2,17,602,21,14,0,0.0,,18
myopic_q,2,18,742,26,14,0,0.0,,19
myopic_q,2,19,770,27,14,0,0.0,,20
learned_briga,2,0,10,0,10,0,0.0,,3
learned_briga,2,1,38,1,10,0,0.0,,4
learned_briga,2,2,121,4,9,10000,1.0,2.0,1
learned_briga,2,3,146,5,6,0,0.0,,5
learned_briga,2,4,202,7,6,0,0.0,,6
learned_briga,2,5,246,8,22,0,0.0,,7
learned_briga,2,6,248,8,24,0,0.0,,8
learned_briga,2,7,341,12,5,0,0.0,,9
learned_briga,2,8,343,12,7,0,0.0,,10
learned_briga,2,9,362,12,26,0,0.0,,11
learned_briga,2,10,406,14,14,0,0.0,,12
learned_briga,2,11,434,15,14,0,0.0,,13
learned_briga,2,12,454,16,6,10000,1.0,1.0,2
learned_briga,2,13,490,17,14,0,0.0,,14
learned_briga,2,14,546,19,14,0,0.0,,15
learned_briga,2,15,574,20,14,0,0.0,,16
learned_briga,2,16,580,20,20,0,0.0,,17
learned_briga,2,17,602,21,14,0,0.0,,18
learned_briga,2,18,742,26,14,0,0.0,,19
learned_briga,2,19,770,27,14,0,0.0,,20
global_mi,4,0,10,0,10,0,0.0,,5
global_mi,4,1,38,1,10,10000,1.0,3.0,1
global_mi,4,2,121,4,9,10000,1.0,1.0,2
global_mi,4,3,146,5,6,0,0.0,,6
global_mi,4,4,202,7,6,10000,1.0,2.0,3
global_mi,4,5,246,8,22,0,0.0,,7
global_mi,4,6,248,8,24,0,0.0,,8
global_mi,4,7,341,12,5,0,0.0,,9
global_mi,4,8,343,12,7,10000,1.0,4.0,4
global_mi,4,9,362,12,26,0,0.0,,10
global_mi,4,10,406,14,14,0,0.0,,11
global_mi,4,11,434,15,14,0,0.0,,12
global_mi,4,12,454,16,6,0,0.0,,13
global_mi,4,13,490,17,14,0,0.0,,14
global_mi,4,14,546,19,14,0,0.0,,15
global_mi,4,15,574,20,14,0,0.0,,16
global_mi,4,16,580,20,20,0,0.0,,17
global_mi,4,17,602,21,14,0,0.0,,18
global_mi,4,18,742,26,14,0,0.0,,19
global_mi,4,19,770,27,14,0,0.0,,20
myopic_q,4,0,10,0,10,0,0.0,,12
myopic_q,4,1,38,1,10,3008,0.3008,2.4674202127659575,5
myopic_q,4,2,121,4,9,10000,1.0,1.0,1
myopic_q,4,3,146,5,6,2355,0.2355,3.6390658174097665,6
myopic_q,4,4,202,7,6,8316,0.8316,2.1493506493506493,2
myopic_q,4,5,246,8,22,210,0.021,4.0,11
myopic_q,4,6,248,8,24,1866,0.1866,3.219721329046088,7
myopic_q,4,7,341,12,5,6418,0.6418,3.7768775319414147,3
myopic_q,4,8,343,12,7,4701,0.4701,3.003616251861306,4
myopic_q,4,9,362,12,26,1678,0.1678,3.567342073897497,8
myopic_q,4,10,406,14,14,0,0.0,,13
myopic_q,4,11,434,15,14,0,0.0,,14
myopic_q,4,12,454,16,6,855,0.0855,3.0035087719298246,9
