dataset,seed,policy,budget,accuracy,cross_entropy,predictor_val_acc_random_masks,predictor_val_loss_random_masks,n_train,n_val,n_test,n_features,n_classes,max_samples
miniboone,1,empty_mask,0,0.7193333333333334,0.5935820058186849,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,full_features,50,0.8716666666666667,0.30039449310302735,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,random,1,0.7220666666666666,0.5845485257466634,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,global_mi,1,0.7158333333333333,0.5980326487223308,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,myopic_q,1,0.7923333333333333,0.47962005615234377,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,learned_briga,1,0.7923333333333333,0.47962005615234377,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,random,2,0.7253333333333332,0.5752193593343098,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,global_mi,2,0.7158333333333333,0.5853953297932942,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,myopic_q,2,0.8116666666666666,0.4549970957438151,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,learned_briga,2,0.7893333333333333,0.4814956563313802,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,random,4,0.7349166666666667,0.5528045310974121,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,global_mi,4,0.8233333333333334,0.41004202524820965,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,myopic_q,4,0.837,0.4201422754923503,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,learned_briga,4,0.827,0.4044021860758464,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,random,8,0.7526166666666667,0.5128232645670574,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,global_mi,8,0.8338333333333333,0.3740748519897461,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,myopic_q,8,0.8411666666666666,0.3810180892944336,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,learned_briga,8,0.8323333333333334,0.3804318720499674,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,random,16,0.7887500000000001,0.44480685602823894,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,global_mi,16,0.8428333333333333,0.3582549362182617,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,myopic_q,16,0.8465,0.3532486368815104,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,1,learned_briga,16,0.8503333333333334,0.33764767201741536,0.8101666666666667,0.4132100626627604,18000,6000,6000,50,2,30000
miniboone,3,empty_mask,0,0.7193333333333334,0.5937455596923829,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,full_features,50,0.869,0.31069379806518554,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,random,1,0.7225,0.5868668548583984,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,global_mi,1,0.7156666666666667,0.6029449869791667,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,myopic_q,1,0.7193333333333334,0.5955072479248047,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,learned_briga,1,0.7193333333333334,0.5955072479248047,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,random,2,0.7261,0.5775052609761556,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,global_mi,2,0.7156666666666667,0.5881741002400717,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,myopic_q,2,0.8103333333333333,0.46108597819010416,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,learned_briga,2,0.811,0.4633898671468099,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,random,4,0.7349166666666667,0.5580350275675456,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,global_mi,4,0.8211666666666667,0.4290456288655599,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,myopic_q,4,0.832,0.40840789540608724,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,learned_briga,4,0.816,0.4568339564005534,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,random,8,0.7518166666666665,0.5222867685953776,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,global_mi,8,0.8393333333333334,0.36537803649902345,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
miniboone,3,myopic_q,8,0.836,0.38230549621582033,0.8151666666666667,0.40862913004557294,18000,6000,6000,50,2,30000
