dataset,policy,budget,accuracy_mean,accuracy_se,cross_entropy_mean,cross_entropy_se,n_seeds,max_samples
miniboone,empty_mask,0,0.7193333333333335,7.850462293418875e-17,0.5936369035508898,5.4329066276095805e-05,3,30000
miniboone,random,1,0.7226055555555555,0.00034565200511781926,0.5855492067972818,0.0006877532338195057,3,30000
miniboone,global_mi,1,0.7157777777777777,5.5555555555549446e-05,0.6004913482666016,0.0014180721651132055,3,30000
miniboone,myopic_q,1,0.7736111111111111,0.02757050445765152,0.5114703216552735,0.042426587480427276,3,30000
miniboone,learned_briga,1,0.7736111111111111,0.02757050445765152,0.5114703216552735,0.042426587480427276,3,30000
miniboone,random,2,0.7262277777777776,0.0005569704205635625,0.5760012793646918,0.0007521893099931957,3,30000
miniboone,global_mi,2,0.7157777777777777,5.5555555555549446e-05,0.5878143810696073,0.00130524938110244,3,30000
miniboone,myopic_q,2,0.8131666666666666,0.002200589146704262,0.45499782731797955,0.003514784376651683,3,30000
miniboone,learned_briga,2,0.8053333333333333,0.008112633038343031,0.4616874067518446,0.011958091865683038,3,30000
miniboone,random,4,0.7360888888888889,0.0011722222222222043,0.555035945807563,0.0015579375100399067,3,30000
miniboone,global_mi,4,0.8206111111111111,0.0017541837115385521,0.4210252414279514,0.005682370492078989,3,30000
miniboone,myopic_q,4,0.8282222222222222,0.006441570240282547,0.41891417439778644,0.005744195847995627,3,30000
miniboone,learned_briga,4,0.8183888888888888,0.004445485989069383,0.42920883433024093,0.015201211364383307,3,30000
miniboone,random,8,0.7536277777777777,0.0014298838768356792,0.5174884476555719,0.002732689236453897,3,30000
miniboone,global_mi,8,0.8422777777777778,0.0059116436685745545,0.36860558742947047,0.0027494005357858032,3,30000
miniboone,myopic_q,8,0.8331111111111111,0.005671838598410521,0.39016695319281686,0.00851327622712204,3,30000
miniboone,learned_briga,8,0.8424444444444444,0.007674110717773234,0.3782946141560872,0.010955536231470839,3,30000
miniboone,random,16,0.7903611111111112,0.001901493889641948,0.45152800335354276,0.0037438723517195824,3,30000
miniboone,global_mi,16,0.8467222222222222,0.002421610524189255,0.35384155866834854,0.004889516718600367,3,30000
miniboone,myopic_q,16,0.8423333333333334,0.0024056261216234645,0.36554087575276695,0.0063201984043974235,3,30000
miniboone,learned_briga,16,0.8516111111111111,0.0014476460245328292,0.34930633629692925,0.006104754586643924,3,30000
miniboone,full_features,50,0.8695,0.0011344765475923492,0.30623408381144207,0.0030521557926871464,3,30000
